#: table_doi: 10.17182/hepdata.78697.v2/t16
#: name: Table 16
#: description: Two-dimensional distributions of $x$-$y$ positions of vertices observed in the data passing the vertex pre-selection and satisfying all signal region event-level requirements.
#: data_file: data46.yaml
#: data_license:   
#: keyword reactions: 
#: keyword observables: N
#: keyword phrases: Proton-Proton Scattering | Supersymmetry | SUSY
#: keyword cmenergies: 13000.0
#: SQRT(S) [GeV],13000
'DV x [mm]','DV y [mm]','Entries'
-74.0,-206.0,2.0
-70.0,-206.0,2.0
-66.0,-206.0,1.0
-62.0,-206.0,3.0
-58.0,-206.0,2.0
-54.0,-206.0,1.0
-50.0,-206.0,2.0
-46.0,-206.0,3.0
-42.0,-206.0,1.0
-38.0,-206.0,1.0
42.0,-206.0,4.0
46.0,-206.0,2.0
50.0,-206.0,1.0
54.0,-206.0,1.0
58.0,-206.0,4.0
62.0,-206.0,3.0
66.0,-206.0,2.0
70.0,-206.0,1.0
74.0,-206.0,1.0
78.0,-206.0,2.0
90.0,-206.0,1.0
110.0,-206.0,2.0
114.0,-206.0,1.0
118.0,-206.0,1.0
122.0,-206.0,1.0
126.0,-206.0,1.0
130.0,-206.0,3.0
134.0,-206.0,1.0
138.0,-206.0,2.0
142.0,-206.0,2.0
146.0,-206.0,4.0
150.0,-206.0,1.0
162.0,-206.0,2.0
166.0,-206.0,1.0
170.0,-206.0,2.0
182.0,-206.0,1.0
-190.0,-202.0,1.0
-174.0,-202.0,1.0
-170.0,-202.0,1.0
-154.0,-202.0,1.0
-146.0,-202.0,1.0
-142.0,-202.0,3.0
-138.0,-202.0,2.0
-134.0,-202.0,4.0
-130.0,-202.0,2.0
-126.0,-202.0,2.0
-114.0,-202.0,4.0
-98.0,-202.0,3.0
-94.0,-202.0,2.0
-86.0,-202.0,3.0
-78.0,-202.0,2.0
-74.0,-202.0,4.0
-70.0,-202.0,1.0
-66.0,-202.0,3.0
-62.0,-202.0,1.0
-58.0,-202.0,1.0
-54.0,-202.0,3.0
-50.0,-202.0,2.0
-46.0,-202.0,1.0
46.0,-202.0,2.0
50.0,-202.0,1.0
54.0,-202.0,3.0
62.0,-202.0,4.0
70.0,-202.0,1.0
74.0,-202.0,1.0
78.0,-202.0,1.0
82.0,-202.0,2.0
86.0,-202.0,4.0
90.0,-202.0,1.0
94.0,-202.0,2.0
98.0,-202.0,2.0
118.0,-202.0,2.0
122.0,-202.0,1.0
126.0,-202.0,3.0
130.0,-202.0,3.0
134.0,-202.0,2.0
138.0,-202.0,2.0
142.0,-202.0,1.0
146.0,-202.0,1.0
158.0,-202.0,1.0
166.0,-202.0,2.0
170.0,-202.0,2.0
178.0,-202.0,1.0
182.0,-202.0,1.0
186.0,-202.0,3.0
-190.0,-198.0,1.0
-182.0,-198.0,1.0
-178.0,-198.0,1.0
-174.0,-198.0,1.0
-158.0,-198.0,4.0
-154.0,-198.0,1.0
-150.0,-198.0,2.0
-146.0,-198.0,1.0
-138.0,-198.0,1.0
-134.0,-198.0,2.0
-126.0,-198.0,1.0
-118.0,-198.0,1.0
-106.0,-198.0,1.0
-102.0,-198.0,3.0
-98.0,-198.0,1.0
-94.0,-198.0,2.0
-78.0,-198.0,2.0
-74.0,-198.0,1.0
-70.0,-198.0,2.0
-62.0,-198.0,7.0
-54.0,-198.0,1.0
-2.0,-198.0,5.0
2.0,-198.0,2.0
6.0,-198.0,1.0
54.0,-198.0,1.0
58.0,-198.0,2.0
62.0,-198.0,1.0
66.0,-198.0,3.0
70.0,-198.0,2.0
78.0,-198.0,2.0
82.0,-198.0,1.0
86.0,-198.0,1.0
90.0,-198.0,1.0
94.0,-198.0,5.0
98.0,-198.0,5.0
106.0,-198.0,1.0
110.0,-198.0,1.0
118.0,-198.0,1.0
122.0,-198.0,3.0
130.0,-198.0,1.0
146.0,-198.0,2.0
150.0,-198.0,3.0
158.0,-198.0,2.0
162.0,-198.0,1.0
170.0,-198.0,1.0
174.0,-198.0,2.0
186.0,-198.0,2.0
-194.0,-194.0,1.0
-186.0,-194.0,1.0
-178.0,-194.0,2.0
-162.0,-194.0,3.0
-154.0,-194.0,1.0
-150.0,-194.0,1.0
-142.0,-194.0,2.0
-138.0,-194.0,1.0
-134.0,-194.0,2.0
-130.0,-194.0,1.0
-114.0,-194.0,3.0
-110.0,-194.0,2.0
-106.0,-194.0,1.0
-98.0,-194.0,2.0
-94.0,-194.0,1.0
-90.0,-194.0,1.0
-86.0,-194.0,1.0
-82.0,-194.0,2.0
-78.0,-194.0,2.0
-74.0,-194.0,4.0
-70.0,-194.0,2.0
-66.0,-194.0,4.0
-14.0,-194.0,2.0
-10.0,-194.0,3.0
-6.0,-194.0,2.0
-2.0,-194.0,2.0
2.0,-194.0,3.0
6.0,-194.0,1.0
10.0,-194.0,2.0
14.0,-194.0,1.0
62.0,-194.0,2.0
66.0,-194.0,1.0
70.0,-194.0,2.0
74.0,-194.0,3.0
82.0,-194.0,1.0
86.0,-194.0,3.0
90.0,-194.0,1.0
94.0,-194.0,2.0
98.0,-194.0,2.0
102.0,-194.0,1.0
106.0,-194.0,3.0
110.0,-194.0,4.0
114.0,-194.0,1.0
118.0,-194.0,1.0
130.0,-194.0,2.0
134.0,-194.0,2.0
138.0,-194.0,2.0
142.0,-194.0,1.0
146.0,-194.0,3.0
150.0,-194.0,3.0
154.0,-194.0,1.0
158.0,-194.0,2.0
162.0,-194.0,1.0
166.0,-194.0,2.0
174.0,-194.0,1.0
182.0,-194.0,2.0
190.0,-194.0,4.0
-202.0,-190.0,2.0
-198.0,-190.0,1.0
-190.0,-190.0,4.0
-186.0,-190.0,2.0
-182.0,-190.0,4.0
-178.0,-190.0,1.0
-166.0,-190.0,1.0
-162.0,-190.0,2.0
-158.0,-190.0,1.0
-154.0,-190.0,1.0
-150.0,-190.0,1.0
-146.0,-190.0,2.0
-142.0,-190.0,3.0
-138.0,-190.0,1.0
-134.0,-190.0,2.0
-118.0,-190.0,1.0
-114.0,-190.0,4.0
-106.0,-190.0,2.0
-102.0,-190.0,2.0
-98.0,-190.0,2.0
-94.0,-190.0,3.0
-90.0,-190.0,3.0
-86.0,-190.0,3.0
-78.0,-190.0,3.0
-22.0,-190.0,2.0
-18.0,-190.0,3.0
-14.0,-190.0,1.0
-10.0,-190.0,7.0
-6.0,-190.0,1.0
-2.0,-190.0,3.0
6.0,-190.0,6.0
10.0,-190.0,3.0
14.0,-190.0,6.0
18.0,-190.0,4.0
22.0,-190.0,1.0
74.0,-190.0,1.0
78.0,-190.0,2.0
82.0,-190.0,1.0
86.0,-190.0,6.0
90.0,-190.0,1.0
98.0,-190.0,1.0
102.0,-190.0,3.0
106.0,-190.0,2.0
110.0,-190.0,2.0
114.0,-190.0,1.0
118.0,-190.0,1.0
122.0,-190.0,1.0
134.0,-190.0,2.0
138.0,-190.0,1.0
142.0,-190.0,2.0
146.0,-190.0,1.0
154.0,-190.0,2.0
158.0,-190.0,1.0
162.0,-190.0,2.0
170.0,-190.0,1.0
182.0,-190.0,2.0
186.0,-190.0,1.0
190.0,-190.0,1.0
194.0,-190.0,2.0
202.0,-190.0,1.0
-202.0,-186.0,1.0
