# mN2_GeV, mN1_GeV,   tau_ns,    Eff,       EffErr
1.6500e+03,1.6500e+03,8.9000e+00,1.0160e-01,8.7430e-04
1.6500e+03,1.6400e+03,8.9000e+00,1.0030e-01,8.6810e-04
1.6500e+03,1.6500e+03,1.6000e+01,5.8440e-02,6.4670e-04
1.6500e+03,1.6400e+03,1.6000e+01,5.8550e-02,6.4840e-04
1.6500e+03,1.6500e+03,3.0000e+01,3.1660e-02,4.6710e-04
2.5000e+02,2.4000e+02,8.9000e+00,2.9340e-05,1.4590e-05
1.6500e+03,1.6400e+03,3.0000e+01,3.1650e-02,4.6900e-04
1.6500e+03,1.6500e+03,5.5000e+01,1.7160e-02,3.3740e-04
1.6500e+03,1.6400e+03,5.5000e+01,1.7580e-02,3.4740e-04
1.6500e+03,1.6500e+03,1.0000e+02,9.8680e-03,2.5950e-04
1.6500e+03,1.6400e+03,1.0000e+02,1.0100e-02,2.6450e-04
1.8500e+03,1.8500e+03,1.0000e-03,0.0000e+00,0.0000e+00
1.8500e+03,1.8400e+03,1.0000e-03,0.0000e+00,0.0000e+00
1.8500e+03,1.8500e+03,1.8000e-03,8.7510e-05,3.3070e-05
1.8500e+03,1.8400e+03,1.8000e-03,3.7510e-05,2.1660e-05
1.8500e+03,1.8500e+03,3.4000e-03,2.1850e-03,1.6510e-04
1.8500e+03,1.8400e+03,3.4000e-03,2.8320e-03,1.8790e-04
1.8500e+03,1.8500e+03,6.2000e-03,2.6660e-02,5.7680e-04
1.8500e+03,1.8400e+03,6.2000e-03,2.5920e-02,5.6860e-04
1.8500e+03,1.8500e+03,1.1000e-02,1.1160e-01,1.1820e-03
1.8500e+03,1.8400e+03,1.1000e-02,1.1010e-01,1.1730e-03
2.5000e+02,2.5000e+02,1.6000e+01,1.6340e-05,1.0150e-05
1.8500e+03,1.8500e+03,2.1000e-02,3.0410e-01,1.9530e-03
1.8500e+03,1.8400e+03,2.1000e-02,3.0340e-01,1.9500e-03
1.8500e+03,1.8500e+03,3.8000e-02,5.0370e-01,2.5150e-03
1.8500e+03,1.8400e+03,3.8000e-02,5.0420e-01,2.5160e-03
1.8500e+03,1.8500e+03,7.0000e-02,6.5340e-01,2.8540e-03
2.5000e+02,2.4000e+02,1.6000e+01,5.4450e-06,3.8280e-06
1.8500e+03,1.8400e+03,7.0000e-02,6.5490e-01,2.8580e-03
1.8500e+03,1.8500e+03,1.3000e-01,7.1560e-01,2.9540e-03
1.8500e+03,1.8400e+03,1.3000e-01,7.1500e-01,2.9530e-03
1.8500e+03,1.8500e+03,2.3000e-01,7.0390e-01,2.8730e-03
1.8500e+03,1.8400e+03,2.3000e-01,7.0390e-01,2.8720e-03
1.8500e+03,1.8500e+03,4.3000e-01,6.3790e-01,2.6480e-03
1.8500e+03,1.8400e+03,4.3000e-01,6.3860e-01,2.6500e-03
1.8500e+03,1.8500e+03,7.8000e-01,5.3730e-01,2.3380e-03
1.8500e+03,1.8400e+03,7.8000e-01,5.3940e-01,2.3450e-03
1.8500e+03,1.8500e+03,1.4000e+00,4.1700e-01,1.9760e-03
1.8500e+03,1.8400e+03,1.4000e+00,4.1730e-01,1.9780e-03
1.8500e+03,1.8500e+03,2.6000e+00,2.9070e-01,1.5840e-03
1.8500e+03,1.8400e+03,2.6000e+00,2.8950e-01,1.5800e-03
1.8500e+03,1.8500e+03,4.8000e+00,1.8620e-01,1.2270e-03
1.8500e+03,1.8400e+03,4.8000e+00,1.8400e-01,1.2150e-03
2.5000e+02,2.5000e+02,3.0000e+01,1.0340e-05,1.0340e-05
1.8500e+03,1.8500e+03,8.9000e+00,1.0920e-01,9.1010e-04
1.8500e+03,1.8400e+03,8.9000e+00,1.1020e-01,9.1450e-04
1.8500e+03,1.8500e+03,1.6000e+01,6.3450e-02,6.7700e-04
1.8500e+03,1.8400e+03,1.6000e+01,6.3310e-02,6.7880e-04
1.8500e+03,1.8500e+03,3.0000e+01,3.4910e-02,4.9650e-04
2.5000e+02,2.4000e+02,3.0000e+01,7.3660e-06,5.2090e-06
1.8500e+03,1.8400e+03,3.0000e+01,3.4910e-02,4.9660e-04
1.8500e+03,1.8500e+03,5.5000e+01,1.9460e-02,3.6760e-04
1.8500e+03,1.8400e+03,5.5000e+01,1.9400e-02,3.6770e-04
1.8500e+03,1.8500e+03,1.0000e+02,1.0720e-02,2.7180e-04
