#Efficiencies for the High PT SR obtained with recasting for the Strong model:
# (pp > Gluino Gluino, Gluino > q,q,N1).
  mN1_GeV, mGluino_GeV, width_GeV, tau_ns,     Eff,       EffErr
2.5000e+02,2.5000e+03,3.4642e-14,1.9000e-02,5.3540e-01,4.2840e-03
2.5000e+02,2.5000e+03,1.4185e-14,4.6400e-02,5.0880e-01,4.0460e-03
2.5000e+02,2.5000e+03,5.7737e-15,1.1400e-01,4.0870e-01,3.4280e-03
2.5000e+02,2.5000e+03,2.3676e-15,2.7800e-01,2.7110e-01,2.6100e-03
2.5000e+02,2.5000e+03,9.6652e-16,6.8100e-01,1.4600e-01,1.8020e-03
2.5000e+02,2.5000e+03,3.9413e-16,1.6700e+00,6.6320e-02,1.1490e-03
2.5000e+02,2.5000e+03,1.6132e-16,4.0800e+00,2.9240e-02,7.5880e-04
5.0000e+01,1.0000e+03,2.0829e-13,3.1600e-03,1.9360e-01,1.9650e-03
2.5000e+02,2.5000e+03,6.5820e-17,1.0000e+01,1.2160e-02,4.8750e-04
2.5000e+02,2.7000e+03,2.0829e-13,3.1600e-03,1.8160e-01,2.4960e-03
2.5000e+02,2.7000e+03,8.5039e-14,7.7400e-03,3.3920e-01,3.4300e-03
2.5000e+02,2.7000e+03,3.4642e-14,1.9000e-02,4.0140e-01,3.7020e-03
2.5000e+02,2.7000e+03,1.4185e-14,4.6400e-02,3.8020e-01,3.4910e-03
2.5000e+02,2.7000e+03,5.7737e-15,1.1400e-01,3.0450e-01,2.9570e-03
2.5000e+02,2.7000e+03,2.3676e-15,2.7800e-01,1.9970e-01,2.2420e-03
2.5000e+02,2.7000e+03,9.6652e-16,6.8100e-01,1.0710e-01,1.5420e-03
2.5000e+02,2.7000e+03,3.9413e-16,1.6700e+00,4.9880e-02,1.0130e-03
2.5000e+02,2.7000e+03,1.6132e-16,4.0800e+00,2.1930e-02,6.6120e-04
5.0000e+01,1.0000e+03,8.5039e-14,7.7400e-03,2.4830e-01,2.2420e-03
2.5000e+02,2.7000e+03,6.5820e-17,1.0000e+01,9.3500e-03,4.2970e-04
2.5000e+02,2.9000e+03,2.0829e-13,3.1600e-03,1.2660e-01,2.0840e-03
2.5000e+02,2.9000e+03,8.5039e-14,7.7400e-03,2.3790e-01,2.8720e-03
2.5000e+02,2.9000e+03,3.4642e-14,1.9000e-02,2.8460e-01,3.1200e-03
2.5000e+02,2.9000e+03,1.4185e-14,4.6400e-02,2.6900e-01,2.9380e-03
2.5000e+02,2.9000e+03,5.7737e-15,1.1400e-01,2.1410e-01,2.4790e-03
2.5000e+02,2.9000e+03,2.3676e-15,2.7800e-01,1.4010e-01,1.8790e-03
2.5000e+02,2.9000e+03,9.6652e-16,6.8100e-01,7.3560e-02,1.2830e-03
2.5000e+02,2.9000e+03,3.9413e-16,1.6700e+00,3.3850e-02,8.3260e-04
2.5000e+02,2.9000e+03,1.6132e-16,4.0800e+00,1.5220e-02,5.5270e-04
5.0000e+01,1.0000e+03,3.4642e-14,1.9000e-02,2.3820e-01,2.1210e-03
2.5000e+02,2.9000e+03,6.5820e-17,1.0000e+01,6.9830e-03,3.7920e-04
4.5000e+02,5.0000e+02,2.0829e-13,3.1600e-03,3.2240e-03,3.3450e-04
4.5000e+02,5.0000e+02,8.5039e-14,7.7400e-03,2.3340e-02,9.0240e-04
4.5000e+02,5.0000e+02,3.4642e-14,1.9000e-02,5.2460e-02,1.3510e-03
4.5000e+02,5.0000e+02,1.4185e-14,4.6400e-02,6.5650e-02,1.4970e-03
4.5000e+02,5.0000e+02,5.7737e-15,1.1400e-01,6.3650e-02,1.4300e-03
4.5000e+02,5.0000e+02,2.3676e-15,2.7800e-01,5.1660e-02,1.2170e-03
4.5000e+02,5.0000e+02,9.6652e-16,6.8100e-01,3.4310e-02,9.2430e-04
4.5000e+02,5.0000e+02,3.9413e-16,1.6700e+00,1.8210e-02,6.3300e-04
4.5000e+02,5.0000e+02,1.6132e-16,4.0800e+00,7.6930e-03,3.8790e-04
5.0000e+01,1.0000e+03,1.4185e-14,4.6400e-02,1.8330e-01,1.7380e-03
4.5000e+02,5.0000e+02,6.5820e-17,1.0000e+01,2.8770e-03,2.2820e-04
4.5000e+02,7.5000e+02,2.0829e-13,3.1600e-03,1.1940e-02,6.4460e-04
4.5000e+02,7.5000e+02,8.5039e-14,7.7400e-03,9.7210e-02,1.8380e-03
4.5000e+02,7.5000e+02,3.4642e-14,1.9000e-02,2.6210e-01,3.0250e-03
4.5000e+02,7.5000e+02,1.4185e-14,4.6400e-02,3.8130e-01,3.6360e-03
4.5000e+02,7.5000e+02,5.7737e-15,1.1400e-01,3.9650e-01,3.6290e-03
