#Efficiencies for the Trackless SR obtained with recasting for the EWK model:
# (pp > N1N2) using a higgsino scenario.
  mN2_GeV,   mN1_GeV, width_GeV, tau_ns,     Eff,       EffErr
1.4500e+03,1.4500e+03,3.1343e-14,2.1000e-02,1.4990e-02,2.2260e-04
1.4500e+03,1.4400e+03,3.1343e-14,2.1000e-02,1.4900e-02,2.2360e-04
1.4500e+03,1.4500e+03,1.7321e-14,3.8000e-02,3.1000e-02,3.2840e-04
1.4500e+03,1.4400e+03,1.7321e-14,3.8000e-02,3.1570e-02,3.3420e-04
1.4500e+03,1.4500e+03,9.4029e-15,7.0000e-02,4.7140e-02,4.1300e-04
2.5000e+02,2.4000e+02,4.7014e-16,1.4000e+00,5.6690e-03,1.9580e-04
1.4500e+03,1.4400e+03,9.4029e-15,7.0000e-02,4.7880e-02,4.1830e-04
1.4500e+03,1.4500e+03,5.0631e-15,1.3000e-01,5.6360e-02,4.5530e-04
1.4500e+03,1.4400e+03,5.0631e-15,1.3000e-01,5.7450e-02,4.6110e-04
1.4500e+03,1.4500e+03,2.8617e-15,2.3000e-01,5.8230e-02,4.5880e-04
1.4500e+03,1.4400e+03,2.8617e-15,2.3000e-01,5.9270e-02,4.6510e-04
1.4500e+03,1.4500e+03,1.5307e-15,4.3000e-01,5.4690e-02,4.3660e-04
1.4500e+03,1.4400e+03,1.5307e-15,4.3000e-01,5.5770e-02,4.4240e-04
1.4500e+03,1.4500e+03,8.4385e-16,7.8000e-01,4.7330e-02,3.9430e-04
1.4500e+03,1.4400e+03,8.4385e-16,7.8000e-01,4.8520e-02,4.0210e-04
1.4500e+03,1.4500e+03,4.7014e-16,1.4000e+00,3.7660e-02,3.4020e-04
1.4500e+03,1.4400e+03,4.7014e-16,1.4000e+00,3.8740e-02,3.4710e-04
1.4500e+03,1.4500e+03,2.5315e-16,2.6000e+00,2.6940e-02,2.7790e-04
1.4500e+03,1.4400e+03,2.5315e-16,2.6000e+00,2.7590e-02,2.8250e-04
1.4500e+03,1.4500e+03,1.3713e-16,4.8000e+00,1.8060e-02,2.2140e-04
1.4500e+03,1.4400e+03,1.3713e-16,4.8000e+00,1.8460e-02,2.2440e-04
2.5000e+02,2.5000e+02,2.5315e-16,2.6000e+00,3.1580e-03,1.4060e-04
1.4500e+03,1.4500e+03,7.3955e-17,8.9000e+00,1.1430e-02,1.7400e-04
1.4500e+03,1.4400e+03,7.3955e-17,8.9000e+00,1.1750e-02,1.7660e-04
1.4500e+03,1.4500e+03,4.1138e-17,1.6000e+01,7.1590e-03,1.3560e-04
1.4500e+03,1.4400e+03,4.1138e-17,1.6000e+01,7.4300e-03,1.4040e-04
1.4500e+03,1.4500e+03,2.1940e-17,3.0000e+01,4.0860e-03,1.0130e-04
2.5000e+02,2.4000e+02,2.5315e-16,2.6000e+00,2.8530e-03,1.3630e-04
1.4500e+03,1.4400e+03,2.1940e-17,3.0000e+01,4.2640e-03,1.0440e-04
1.4500e+03,1.4500e+03,1.1967e-17,5.5000e+01,2.2600e-03,7.2380e-05
1.4500e+03,1.4400e+03,1.1967e-17,5.5000e+01,2.3790e-03,7.6910e-05
1.4500e+03,1.4500e+03,6.5820e-18,1.0000e+02,1.2800e-03,5.3720e-05
1.4500e+03,1.4400e+03,6.5820e-18,1.0000e+02,1.2830e-03,5.3670e-05
1.6500e+03,1.6500e+03,6.5820e-13,1.0000e-03,0.0000e+00,0.0000e+00
1.6500e+03,1.6400e+03,6.5820e-13,1.0000e-03,0.0000e+00,0.0000e+00
1.6500e+03,1.6500e+03,3.6567e-13,1.8000e-03,0.0000e+00,0.0000e+00
1.6500e+03,1.6400e+03,3.6567e-13,1.8000e-03,0.0000e+00,0.0000e+00
1.6500e+03,1.6500e+03,1.9359e-13,3.4000e-03,2.9660e-06,2.9660e-06
1.6500e+03,1.6400e+03,1.9359e-13,3.4000e-03,0.0000e+00,0.0000e+00
1.6500e+03,1.6500e+03,1.0616e-13,6.2000e-03,1.0890e-04,1.6030e-05
1.6500e+03,1.6400e+03,1.0616e-13,6.2000e-03,1.1020e-04,1.6740e-05
1.6500e+03,1.6500e+03,5.9836e-14,1.1000e-02,9.9140e-04,5.3230e-05
1.6500e+03,1.6400e+03,5.9836e-14,1.1000e-02,1.0640e-03,5.4820e-05
2.5000e+02,2.5000e+02,1.3713e-16,4.8000e+00,1.5070e-03,9.4710e-05
1.6500e+03,1.6500e+03,3.1343e-14,2.1000e-02,4.8640e-03,1.2310e-04
1.6500e+03,1.6400e+03,3.1343e-14,2.1000e-02,4.9920e-03,1.2480e-04
1.6500e+03,1.6500e+03,1.7321e-14,3.8000e-02,1.1510e-02,1.9500e-04
1.6500e+03,1.6400e+03,1.7321e-14,3.8000e-02,1.1450e-02,1.9300e-04
1.6500e+03,1.6500e+03,9.4029e-15,7.0000e-02,1.8330e-02,2.4940e-04
2.5000e+02,2.4000e+02,1.3713e-16,4.8000e+00,1.3430e-03,8.9160e-05
1.6500e+03,1.6400e+03,9.4029e-15,7.0000e-02,1.8220e-02,2.4720e-04
1.6500e+03,1.6500e+03,5.0631e-15,1.3000e-01,2.2700e-02,2.7920e-04
1.6500e+03,1.6400e+03,5.0631e-15,1.3000e-01,2.2700e-02,2.7900e-04
1.6500e+03,1.6500e+03,2.8617e-15,2.3000e-01,2.4050e-02,2.8650e-04
1.6500e+03,1.6400e+03,2.8617e-15,2.3000e-01,2.4020e-02,2.8560e-04
1.6500e+03,1.6500e+03,1.5307e-15,4.3000e-01,2.2920e-02,2.7480e-04
1.6500e+03,1.6400e+03,1.5307e-15,4.3000e-01,2.2950e-02,2.7290e-04
