 C_Mass(GeV)   N_Mass(GeV)     tau(ns)    Init_xs(fb)      EAxEE          TAxTE         EAxEExTAxTE      total_eff     xs100(fb)     xslim(fb)         Ntr          r       MCev 
   299.822     299.650         0.200      492.699      7.7246e-02      3.9999e-02      3.0897e-03      2.3405e-03    1.153e+00     9.400e+01       4.16e+01    5.24e+00    1698249 
   299.822     299.650         0.250      492.699      7.7246e-02      5.2435e-02      4.0504e-03      3.0639e-03    1.510e+00     7.180e+01       5.45e+01    6.86e+00    2259913 
   299.822     299.650         0.300      492.699      7.7246e-02      6.2595e-02      4.8352e-03      3.6527e-03    1.800e+00     6.023e+01       6.50e+01    8.18e+00    2755957 
   299.822     299.650         0.400      492.699      7.7246e-02      7.6854e-02      5.9366e-03      4.4716e-03    2.203e+00     4.920e+01       7.95e+01    1.00e+01    3559712 
   299.822     299.650         0.500      492.699      7.7246e-02      8.5156e-02      6.5780e-03      4.9390e-03    2.433e+00     4.454e+01       8.78e+01    1.11e+01    4158296 
   299.822     299.650         0.600      492.699      7.7246e-02      8.9959e-02      6.9490e-03      5.2007e-03    2.562e+00     4.230e+01       9.25e+01    1.16e+01    4622646 
   299.822     299.650         0.700      492.699      7.7246e-02      9.2164e-02      7.1193e-03      5.3082e-03    2.615e+00     4.145e+01       9.44e+01    1.19e+01    4974763 
   299.822     299.650         0.800      492.699      7.7246e-02      9.2726e-02      7.1627e-03      5.3227e-03    2.623e+00     4.133e+01       9.47e+01    1.19e+01    5247063 
   299.822     299.650         0.900      492.699      7.7246e-02      9.2433e-02      7.1401e-03      5.2867e-03    2.605e+00     4.161e+01       9.40e+01    1.18e+01    5467178 
   299.822     299.650         1.000      492.699      7.7246e-02      9.1608e-02      7.0764e-03      5.2231e-03    2.573e+00     4.212e+01       9.29e+01    1.17e+01    5648113 
   299.822     299.650         1.500      492.699      7.7246e-02      8.2802e-02      6.3961e-03      4.6534e-03    2.293e+00     4.728e+01       8.28e+01    1.04e+01    6165370 
   299.822     299.650         2.000      492.699      7.7246e-02      7.3539e-02      5.6806e-03      4.0842e-03    2.012e+00     5.387e+01       7.26e+01    9.15e+00    6392191 
   299.822     299.650         2.500      492.699      7.7246e-02      6.5515e-02      5.0608e-03      3.6077e-03    1.778e+00     6.098e+01       6.42e+01    8.08e+00    6510899 
   299.822     299.650         3.000      492.699      7.7246e-02      5.8912e-02      4.5507e-03      3.2206e-03    1.587e+00     6.831e+01       5.73e+01    7.21e+00    6576756 
   299.822     299.650         4.000      492.699      7.7246e-02      4.8836e-02      3.7724e-03      2.6406e-03    1.301e+00     8.331e+01       4.70e+01    5.91e+00    6640163 
   299.822     299.650         5.000      492.699      7.7246e-02      4.1571e-02      3.2112e-03      2.2308e-03    1.099e+00     9.862e+01       3.97e+01    5.00e+00    6664351 
   299.822     299.650         6.000      492.699      7.7246e-02      3.6264e-02      2.8012e-03      1.9354e-03    9.536e-01     1.137e+02       3.44e+01    4.33e+00    6676043 
   299.822     299.650         7.000      492.699      7.7246e-02      3.2062e-02      2.4766e-03      1.7026e-03    8.389e-01     1.292e+02       3.03e+01    3.81e+00    6681683 
   299.822     299.650         8.000      492.699      7.7246e-02      2.8731e-02      2.2193e-03      1.5201e-03    7.490e-01     1.447e+02       2.70e+01    3.40e+00    6679107 
   299.822     299.650         9.000      492.699      7.7246e-02      2.6036e-02      2.0112e-03      1.3734e-03    6.767e-01     1.602e+02       2.44e+01    3.08e+00    6679814 
   299.822     299.650         10.000      492.699      7.7246e-02      2.3849e-02      1.8422e-03      1.2551e-03    6.184e-01     1.753e+02       2.23e+01    2.81e+00    6676993 
   400.268     400.096         0.010      144.984      9.0447e-02      1.6618e-07      1.5031e-08      9.5938e-09    1.391e-06     2.293e+07       5.02e-05    6.32e-06    14 
   400.268     400.096         0.015      144.984      9.0447e-02      2.0177e-06      1.8249e-07      1.4189e-07    2.057e-05     1.550e+06       7.43e-04    9.35e-05    195 
   400.268     400.096         0.020      144.984      9.0447e-02      9.4464e-06      8.5440e-07      6.5971e-07    9.565e-05     3.335e+05       3.45e-03    4.35e-04    884 
   400.268     400.096         0.025      144.984      9.0447e-02      3.2708e-05      2.9583e-06      2.3171e-06    3.359e-04     9.495e+04       1.21e-02    1.53e-03    2761 
   400.268     400.096         0.030      144.984      9.0447e-02      8.1884e-05      7.4061e-06      5.8968e-06    8.549e-04     3.731e+04       3.09e-02    3.89e-03    6504 
   400.268     400.096         0.040      144.984      9.0447e-02      3.3025e-04      2.9870e-05      2.3971e-05    3.475e-03     9.178e+03       1.25e-01    1.58e-02    22993 
   400.268     400.096         0.050      144.984      9.0447e-02      8.3403e-04      7.5435e-05      6.0755e-05    8.809e-03     3.621e+03       3.18e-01    4.00e-02    54021 
   400.268     400.096         0.060      144.984      9.0447e-02      1.6722e-03      1.5124e-04      1.2181e-04    1.766e-02     1.806e+03       6.38e-01    8.03e-02    101791 
   400.268     400.096         0.070      144.984      9.0447e-02      2.8372e-03      2.5661e-04      2.0670e-04    2.997e-02     1.064e+03       1.08e+00    1.36e-01    164072 
   400.268     400.096         0.080      144.984      9.0447e-02      4.3510e-03      3.9353e-04      3.1666e-04    4.591e-02     6.948e+02       1.66e+00    2.09e-01    242772 
