 C_Mass(GeV)   N_Mass(GeV)    tau(ns)    Init_xs(fb)      EAxEE           TAxTE        EAxEExTAxTE       total_eff    xs100(fb)     xslim(fb)         Ntr          r        MCev 
   300.000     299.843         0.080      15.570      1.5950e-01      1.3210e-02      2.1070e-03      8.6031e-04    1.340e-02     2.557e+02       4.84e-01    6.09e-02    551630 
   300.000     299.843         0.090      15.570      1.5950e-01      1.7270e-02      2.7544e-03      1.1230e-03    1.749e-02     1.959e+02       6.31e-01    7.95e-02    709212 
   300.000     299.843         0.100      15.570      1.5950e-01      2.1575e-02      3.4411e-03      1.4008e-03    2.181e-02     1.571e+02       7.87e-01    9.91e-02    875309 
   300.000     299.843         0.150      15.570      1.5950e-01      4.2935e-02      6.8479e-03      2.7780e-03    4.325e-02     7.919e+01       1.56e+00    1.97e-01    1718233 
   300.000     299.843         0.200      15.570      1.5950e-01      6.0710e-02      9.6830e-03      3.9197e-03    6.103e-02     5.613e+01       2.20e+00    2.77e-01    2476166 
   300.000     299.843         0.250      15.570      1.5950e-01      7.4095e-02      1.1818e-02      4.7769e-03    7.438e-02     4.605e+01       2.69e+00    3.38e-01    3120071 
   300.000     299.843         0.300      15.570      1.5950e-01      8.3686e-02      1.3348e-02      5.3898e-03    8.392e-02     4.082e+01       3.03e+00    3.81e-01    3648781 
   300.000     299.843         0.400      15.570      1.5950e-01      9.4628e-02      1.5093e-02      6.0797e-03    9.466e-02     3.619e+01       3.42e+00    4.30e-01    4440695 
   300.000     299.843         0.500      15.570      1.5950e-01      9.9208e-02      1.5823e-02      6.3600e-03    9.903e-02     3.459e+01       3.57e+00    4.50e-01    4999613 
   300.000     299.843         0.600      15.570      1.5950e-01      1.0015e-01      1.5973e-02      6.4052e-03    9.973e-02     3.435e+01       3.60e+00    4.53e-01    5396454 
   300.000     299.843         0.700      15.570      1.5950e-01      9.9248e-02      1.5830e-02      6.3336e-03    9.862e-02     3.474e+01       3.56e+00    4.48e-01    5695618 
   300.000     299.843         0.800      15.570      1.5950e-01      9.7236e-02      1.5509e-02      6.1906e-03    9.639e-02     3.554e+01       3.48e+00    4.38e-01    5916537 
   300.000     299.843         0.900      15.570      1.5950e-01      9.4661e-02      1.5098e-02      6.0145e-03    9.365e-02     3.658e+01       3.38e+00    4.26e-01    6088553 
   300.000     299.843         1.000      15.570      1.5950e-01      9.1784e-02      1.4639e-02      5.8183e-03    9.059e-02     3.781e+01       3.27e+00    4.12e-01    6221187 
   300.000     299.843         1.500      15.570      1.5950e-01      7.7676e-02      1.2389e-02      4.8790e-03    7.597e-02     4.509e+01       2.74e+00    3.45e-01    6599905 
   300.000     299.843         2.000      15.570      1.5950e-01      6.6432e-02      1.0596e-02      4.1422e-03    6.449e-02     5.311e+01       2.33e+00    2.93e-01    6758849 
   300.000     299.843         2.500      15.570      1.5950e-01      5.7693e-02      9.2018e-03      3.5766e-03    5.569e-02     6.151e+01       2.01e+00    2.53e-01    6836063 
   300.000     299.843         3.000      15.570      1.5950e-01      5.0908e-02      8.1197e-03      3.1420e-03    4.892e-02     7.002e+01       1.77e+00    2.22e-01    6878227 
   300.000     299.843         4.000      15.570      1.5950e-01      4.1139e-02      6.5616e-03      2.5212e-03    3.926e-02     8.726e+01       1.42e+00    1.78e-01    6916624 
   300.000     299.843         5.000      15.570      1.5950e-01      3.4494e-02      5.5017e-03      2.1037e-03    3.275e-02     1.046e+02       1.18e+00    1.49e-01    6930178 
   300.000     299.843         6.000      15.570      1.5950e-01      2.9673e-02      4.7328e-03      1.8025e-03    2.806e-02     1.221e+02       1.01e+00    1.28e-01    6937633 
   300.000     299.843         7.000      15.570      1.5950e-01      2.6062e-02      4.1569e-03      1.5785e-03    2.458e-02     1.394e+02       8.87e-01    1.12e-01    6939319 
   300.000     299.843         8.000      15.570      1.5950e-01      2.3224e-02      3.7042e-03      1.4040e-03    2.186e-02     1.567e+02       7.89e-01    9.94e-02    6939529 
   300.000     299.843         9.000      15.570      1.5950e-01      2.0980e-02      3.3462e-03      1.2662e-03    1.972e-02     1.737e+02       7.12e-01    8.96e-02    6937922 
   300.000     299.843         10.000      15.570      1.5950e-01      1.9027e-02      3.0348e-03      1.1463e-03    1.785e-02     1.919e+02       6.44e-01    8.11e-02    6937230 
   400.000     399.843         0.010      4.567      2.2490e-01      2.5104e-07      5.6458e-08      1.8556e-08    8.474e-08     1.186e+07       3.06e-06    3.85e-07    47 
   400.000     399.843         0.015      4.567      2.2490e-01      4.7195e-06      1.0614e-06      3.7153e-07    1.697e-06     5.921e+05       6.13e-05    7.71e-06    665 
   400.000     399.843         0.020      4.567      2.2490e-01      2.8325e-05      6.3702e-06      2.2634e-06    1.034e-05     9.720e+04       3.73e-04    4.70e-05    3543 
   400.000     399.843         0.025      4.567      2.2490e-01      1.0009e-04      2.2510e-05      7.9423e-06    3.627e-05     2.770e+04       1.31e-03    1.65e-04    11060 
   400.000     399.843         0.030      4.567      2.2490e-01      2.5949e-04      5.8358e-05      2.0589e-05    9.403e-05     1.069e+04       3.39e-03    4.27e-04    25477 
   400.000     399.843         0.040      4.567      2.2490e-01      9.5433e-04      2.1463e-04      7.5195e-05    3.434e-04     2.926e+03       1.24e-02    1.56e-03    82102 
   400.000     399.843         0.050      4.567      2.2490e-01      2.2596e-03      5.0818e-04      1.7716e-04    8.091e-04     1.242e+03       2.92e-02    3.68e-03    179195 
   400.000     399.843         0.060      4.567      2.2490e-01      4.2707e-03      9.6046e-04      3.3374e-04    1.524e-03     6.592e+02       5.50e-02    6.93e-03    315925 
   400.000     399.843         0.070      4.567      2.2490e-01      6.8305e-03      1.5362e-03      5.3215e-04    2.430e-03     4.134e+02       8.77e-02    1.10e-02    485625 
   400.000     399.843         0.080      4.567      2.2490e-01      9.9210e-03      2.2312e-03      7.7141e-04    3.523e-03     2.852e+02       1.27e-01    1.60e-02    682952 
   400.000     399.843         0.090      4.567      2.2490e-01      1.3374e-02      3.0078e-03      1.0373e-03    4.737e-03     2.121e+02       1.71e-01    2.15e-02    900088 
   400.000     399.843         0.100      4.567      2.2490e-01      1.7080e-02      3.8412e-03      1.3232e-03    6.043e-03     1.663e+02       2.18e-01    2.75e-02    1130127 
   400.000     399.843         0.150      4.567      2.2490e-01      3.7009e-02      8.3232e-03      2.8548e-03    1.304e-02     7.706e+01       4.71e-01    5.93e-02    2366054 
   400.000     399.843         0.200      4.567      2.2490e-01      5.4921e-02      1.2352e-02      4.2260e-03    1.930e-02     5.206e+01       6.97e-01    8.77e-02    3536499 
   400.000     399.843         0.250      4.567      2.2490e-01      6.9114e-02      1.5544e-02      5.3110e-03    2.425e-02     4.142e+01       8.76e-01    1.10e-01    4553893 
