 C_Mass(GeV)   N_Mass(GeV)    tau(ns)    Init_xs(fb)     EAxEE          TAxTE         EAxEExTAxTE      total_eff     xs100(fb)     xslim(fb)         Ntr          r       MCev 
   400.000     399.843         0.090      43.692      2.1997e-01      6.2680e-03      1.3788e-03      4.7010e-04    2.054e-02     4.680e+02       7.41e-01    9.34e-02    448890 
   400.000     399.843         0.100      43.692      2.1997e-01      8.3567e-03      1.8382e-03      6.2566e-04    2.734e-02     3.516e+02       9.87e-01    1.24e-01    584922 
   400.000     399.843         0.150      43.692      2.1997e-01      2.0887e-02      4.5946e-03      1.5549e-03    6.794e-02     1.415e+02       2.45e+00    3.09e-01    1388552 
   400.000     399.843         0.200      43.692      2.1997e-01      3.4286e-02      7.5420e-03      2.5448e-03    1.112e-01     8.645e+01       4.01e+00    5.05e-01    2256424 
   400.000     399.843         0.250      43.692      2.1997e-01      4.6472e-02      1.0223e-02      3.4425e-03    1.504e-01     6.391e+01       5.43e+00    6.84e-01    3082320 
   400.000     399.843         0.300      43.692      2.1997e-01      5.6889e-02      1.2514e-02      4.2091e-03    1.839e-01     5.227e+01       6.64e+00    8.36e-01    3837033 
   400.000     399.843         0.400      43.692      2.1997e-01      7.2364e-02      1.5918e-02      5.3439e-03    2.335e-01     4.117e+01       8.43e+00    1.06e+00    5099448 
   400.000     399.843         0.500      43.692      2.1997e-01      8.2356e-02      1.8116e-02      6.0706e-03    2.652e-01     3.624e+01       9.57e+00    1.21e+00    6086578 
   400.000     399.843         0.600      43.692      2.1997e-01      8.8458e-02      1.9458e-02      6.5085e-03    2.844e-01     3.380e+01       1.03e+01    1.29e+00    6853378 
   400.000     399.843         0.700      43.692      2.1997e-01      9.1936e-02      2.0223e-02      6.7533e-03    2.951e-01     3.258e+01       1.07e+01    1.34e+00    7461132 
   400.000     399.843         0.800      43.692      2.1997e-01      9.3601e-02      2.0590e-02      6.8626e-03    2.998e-01     3.206e+01       1.08e+01    1.36e+00    7942178 
   400.000     399.843         0.900      43.692      2.1997e-01      9.4140e-02      2.0708e-02      6.8888e-03    3.010e-01     3.194e+01       1.09e+01    1.37e+00    8333213 
   400.000     399.843         1.000      43.692      2.1997e-01      9.3895e-02      2.0654e-02      6.8585e-03    2.997e-01     3.208e+01       1.08e+01    1.36e+00    8653481 
   400.000     399.843         1.500      43.692      2.1997e-01      8.7389e-02      1.9223e-02      6.3243e-03    2.763e-01     3.479e+01       9.98e+00    1.26e+00    9620254 
   400.000     399.843         2.000      43.692      2.1997e-01      7.8830e-02      1.7340e-02      5.6599e-03    2.473e-01     3.887e+01       8.93e+00    1.12e+00    10065712 
   400.000     399.843         2.500      43.692      2.1997e-01      7.1006e-02      1.5619e-02      5.0654e-03    2.213e-01     4.343e+01       7.99e+00    1.01e+00    10301544 
   400.000     399.843         3.000      43.692      2.1997e-01      6.4366e-02      1.4159e-02      4.5658e-03    1.995e-01     4.818e+01       7.20e+00    9.07e-01    10441969 
   400.000     399.843         4.000      43.692      2.1997e-01      5.3871e-02      1.1850e-02      3.7874e-03    1.655e-01     5.809e+01       5.97e+00    7.52e-01    10575252 
   400.000     399.843         5.000      43.692      2.1997e-01      4.6210e-02      1.0165e-02      3.2301e-03    1.411e-01     6.811e+01       5.09e+00    6.41e-01    10633740 
   400.000     399.843         6.000      43.692      2.1997e-01      4.0424e-02      8.8921e-03      2.8118e-03    1.229e-01     7.824e+01       4.43e+00    5.59e-01    10659027 
   400.000     399.843         7.000      43.692      2.1997e-01      3.5937e-02      7.9052e-03      2.4904e-03    1.088e-01     8.834e+01       3.93e+00    4.95e-01    10670283 
   400.000     399.843         8.000      43.692      2.1997e-01      3.2342e-02      7.1142e-03      2.2338e-03    9.760e-02     9.849e+01       3.52e+00    4.44e-01    10673000 
   400.000     399.843         9.000      43.692      2.1997e-01      2.9375e-02      6.4616e-03      2.0241e-03    8.844e-02     1.087e+02       3.19e+00    4.02e-01    10674292 
   400.000     399.843         10.000      43.692      2.1997e-01      2.6891e-02      5.9152e-03      1.8493e-03    8.080e-02     1.190e+02       2.92e+00    3.67e-01    10670997 
   500.000     499.843         0.010      16.022      2.8508e-01      2.3446e-08      6.6838e-09      1.9018e-09    3.047e-08     1.157e+08       1.10e-06    1.39e-07    4 
   500.000     499.843         0.015      16.022      2.8508e-01      5.5176e-07      1.5729e-07      4.7806e-08    7.660e-07     4.602e+06       2.77e-05    3.48e-06    130 
   500.000     499.843         0.020      16.022      2.8508e-01      3.9576e-06      1.1282e-06      3.3620e-07    5.387e-06     6.544e+05       1.94e-04    2.45e-05    851 
   500.000     499.843         0.025      16.022      2.8508e-01      1.8939e-05      5.3991e-06      1.6239e-06    2.602e-05     1.355e+05       9.39e-04    1.18e-04    3286 
   500.000     499.843         0.030      16.022      2.8508e-01      5.1212e-05      1.4599e-05      4.4127e-06    7.070e-05     4.986e+04       2.55e-03    3.21e-04    8317 
   500.000     499.843         0.040      16.022      2.8508e-01      2.2710e-04      6.4742e-05      1.9600e-05    3.140e-04     1.122e+04       1.13e-02    1.43e-03    31135 
   500.000     499.843         0.050      16.022      2.8508e-01      6.2178e-04      1.7726e-04      5.3411e-05    8.558e-04     4.119e+03       3.09e-02    3.89e-03    76647 
   500.000     499.843         0.060      16.022      2.8508e-01      1.2849e-03      3.6630e-04      1.1014e-04    1.765e-03     1.997e+03       6.37e-02    8.02e-03    148093 
   500.000     499.843         0.070      16.022      2.8508e-01      2.2376e-03      6.3789e-04      1.9107e-04    3.061e-03     1.151e+03       1.11e-01    1.39e-02    245206 
   500.000     499.843         0.080      16.022      2.8508e-01      3.4677e-03      9.8855e-04      2.9529e-04    4.731e-03     7.450e+02       1.71e-01    2.15e-02    366245 
   500.000     499.843         0.090      16.022      2.8508e-01      5.0082e-03      1.4277e-03      4.2603e-04    6.826e-03     5.164e+02       2.46e-01    3.10e-02    511303 
   500.000     499.843         0.100      16.022      2.8508e-01      6.7717e-03      1.9305e-03      5.7463e-04    9.207e-03     3.829e+02       3.32e-01    4.18e-02    673851 
   500.000     499.843         0.150      16.022      2.8508e-01      1.7948e-02      5.1166e-03      1.5145e-03    2.427e-02     1.453e+02       8.76e-01    1.10e-01    1674937 
   500.000     499.843         0.200      16.022      2.8508e-01      3.0480e-02      8.6891e-03      2.5641e-03    4.108e-02     8.580e+01       1.48e+00    1.87e-01    2793390 
   500.000     499.843         0.250      16.022      2.8508e-01      4.2396e-02      1.2086e-02      3.5595e-03    5.703e-02     6.181e+01       2.06e+00    2.59e-01    3892400 
   500.000     499.843         0.300      16.022      2.8508e-01      5.2885e-02      1.5076e-02      4.4331e-03    7.103e-02     4.963e+01       2.56e+00    3.23e-01    4914473 
   500.000     499.843         0.400      16.022      2.8508e-01      6.9151e-02      1.9713e-02      5.7843e-03    9.268e-02     3.803e+01       3.35e+00    4.21e-01    6663948 
   500.000     499.843         0.500      16.022      2.8508e-01      8.0133e-02      2.2844e-02      6.6942e-03    1.073e-01     3.286e+01       3.87e+00    4.88e-01    8058238 
   500.000     499.843         0.600      16.022      2.8508e-01      8.7224e-02      2.4866e-02      7.2769e-03    1.166e-01     3.023e+01       4.21e+00    5.30e-01    9167971 
   500.000     499.843         0.700      16.022      2.8508e-01      9.1560e-02      2.6102e-02      7.6306e-03    1.223e-01     2.883e+01       4.41e+00    5.56e-01    10048698 
   500.000     499.843         0.800      16.022      2.8508e-01      9.4042e-02      2.6809e-02      7.8291e-03    1.254e-01     2.810e+01       4.53e+00    5.70e-01    10764598 
   500.000     499.843         0.900      16.022      2.8508e-01      9.5159e-02      2.7128e-02      7.9136e-03    1.268e-01     2.780e+01       4.58e+00    5.76e-01    11348249 
   500.000     499.843         1.000      16.022      2.8508e-01      9.5428e-02      2.7204e-02      7.9278e-03    1.270e-01     2.775e+01       4.59e+00    5.77e-01    11832282 
   500.000     499.843         1.500      16.022      2.8508e-01      9.0272e-02      2.5734e-02      7.4608e-03    1.195e-01     2.949e+01       4.32e+00    5.43e-01    13319530 
   500.000     499.843         2.000      16.022      2.8508e-01      8.2198e-02      2.3433e-02      6.7599e-03    1.083e-01     3.254e+01       3.91e+00    4.92e-01    14041290 
   500.000     499.843         2.500      16.022      2.8508e-01      7.4572e-02      2.1259e-02      6.1073e-03    9.785e-02     3.602e+01       3.53e+00    4.45e-01    14428495 
   500.000     499.843         3.000      16.022      2.8508e-01      6.7825e-02      1.9335e-02      5.5344e-03    8.868e-02     3.975e+01       3.20e+00    4.03e-01    14659507 
   500.000     499.843         4.000      16.022      2.8508e-01      5.7059e-02      1.6266e-02      4.6284e-03    7.416e-02     4.753e+01       2.68e+00    3.37e-01    14898039 
   500.000     499.843         5.000      16.022      2.8508e-01      4.9127e-02      1.4005e-02      3.9667e-03    6.356e-02     5.546e+01       2.29e+00    2.89e-01    15007380 
